linker,family,smiles,yield,purity,reproducibility
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.46,0.55,0.25
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.46,0.46,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.22,0.42,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.15,0.62,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.3,0.58,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.35,0.6,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.38,0.45,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.35,0.51,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.41,0.57,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.49,0.49,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.18,0.44,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.1,0.4,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.42,0.5,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.47,0.69,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.23,0.61,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.19,0.57,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.4,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.11,0.57,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.09,0.45,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.08,0.39,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.43,0.57,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.4,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.24,0.5,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.31,0.63,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.42,0.61,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.38,0.63,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.39,0.51,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.4,0.59,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.25,0.44,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.4,0.44,0.25
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.31,0.45,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.43,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.52,0.6,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.83,0.56,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.14,0.67,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.58,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.18,0.56,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.12,0.6,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.14,0.67,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.04,0.45,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.84,0.86,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.48,0.54,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.46,0.61,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.66,0.69,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.25,0.69,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.35,0.63,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.48,0.62,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.61,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.38,0.69,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.37,0.49,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.38,0.61,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.22,0.43,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.62,0.57,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.77,0.47,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.22,0.58,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.2,0.57,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.51,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.12,0.62,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.6,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.1,0.42,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.81,0.38,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.29,0.54,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.49,0.52,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.7,0.66,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.32,0.61,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.6,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.43,0.54,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.26,0.63,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.37,0.62,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.47,0.48,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.57,0.61,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.3,0.53,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.66,0.59,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.92,0.92,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.66,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.66,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.28,0.56,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.12,0.6,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.1,0.62,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.12,0.51,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.9,0.86,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.57,0.59,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.43,0.57,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.63,0.75,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.68,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.42,0.67,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.5,0.61,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.38,0.66,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.36,0.66,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.27,0.51,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.7,0.58,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.38,0.44,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.68,0.61,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.56,0.73,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.31,0.67,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.36,0.6,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.34,0.47,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.13,0.61,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.29,0.57,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.11,0.45,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.55,0.64,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.59,0.57,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.47,0.58,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.7,0.65,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.38,0.62,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.56,0.64,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.57,0.5,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.56,0.66,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.47,0.54,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.45,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.46,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.44,0.56,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0,0.61,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.87,0.47,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.33,0.68,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.66,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.34,0.46,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.2,0.65,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.48,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.1,0.49,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.52,0.64,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.6,0.57,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0,0.59,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.66,0.71,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.47,0.71,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.6,0.72,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.42,0.49,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.64,0.68,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.54,0.56,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.55,0.55,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.5,0.58,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.38,0.5,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.54,0.6,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.84,0.89,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.29,0.69,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.47,0.64,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.26,0.5,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.31,0.65,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.4,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.26,0.48,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.62,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.45,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.4,0.61,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.48,0.64,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.38,0.67,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.57,0.7,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.66,0.55,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.68,0.66,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.59,0.48,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.46,0.54,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.57,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.27,0.41,0.5
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.58,0.6,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.7,0.49,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.37,0.67,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.39,0.57,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.47,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.23,0.55,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.26,0.46,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.16,0.44,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.49,0.66,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.42,0.48,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.37,0.64,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.49,0.65,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.35,0.74,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.33,0.6,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.48,0.56,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.51,0.58,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.51,0.46,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.47,0.46,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.61,0.6,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.24,0.39,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.57,0.63,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.75,0.86,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.28,0.68,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.32,0.57,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.14,0.46,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.18,0.54,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.41,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.13,0.42,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.72,0.53,0.25
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.38,0.5,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.24,0.64,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.48,0.64,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.44,0.74,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.43,0.64,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.37,0.56,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.51,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.43,0.49,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.38,0.47,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.51,0.6,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.21,0.42,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.43,0.63,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.74,0.4,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.62,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.28,0.53,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.49,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.16,0.49,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.16,0.43,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.34,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.67,0.66,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.27,0.39,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.29,0.53,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.62,0.58,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.24,0.66,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.4,0.61,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.37,0.51,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.43,0.58,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.38,0.43,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.43,0.42,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.6,0.66,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.12,0.33,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.44,0.53,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0,0.5,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.24,0.59,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.29,0.5,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.1,0.51,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.13,0.49,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.1,0.37,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.06,0.32,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.69,0.66,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.32,0.36,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.34,0.57,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.36,0.57,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.3,0.63,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.41,0.56,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.37,0.54,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.43,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.38,0.47,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.36,0.37,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.57,0.61,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.24,0.46,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0,0.55,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.83,0.56,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.22,0.68,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.24,0.6,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.22,0.56,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.15,0.61,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.23,0.67,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.05,0.45,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.74,0.44,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.38,0.53,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0,0.56,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.6,0.68,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.22,0.69,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.6,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.58,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.61,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.48,0.7,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.31,0.48,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.58,0.63,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.28,0.43,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.58,0.57,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.95,0.42,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.56,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.23,0.58,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.26,0.54,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.17,0.62,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.24,0.63,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.08,0.42,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.55,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.51,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.49,0.52,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.74,0.84,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.28,0.6,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.32,0.63,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.5,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.27,0.63,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.39,0.62,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.38,0.47,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.72,0.81,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.41,0.54,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.64,0.59,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.81,0.91,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.28,0.69,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.3,0.69,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.31,0.56,0.5
