linker,family,smiles,MW,logP,TPSA,n_rings,temperature,time_h,concentration_M,solvent_DMF,expected_yield,yield,purity,reproducibility
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.2,0,0.7089805594645994,0.8089805594645993,0.39395148960828513,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.2,0,0.2949370717084464,0.3949370717084464,0.5910126882456946,1.0
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.2,0,0.3720313954576275,0.3295872592755339,0.4580211903160057,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.2,0,0.333594665878616,0.0,0.5608537812673206,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.2,0,0.18673826917302627,0.20446412161552188,0.49470738641077,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.2,0,0.18673826917302627,0.1673069847201182,0.5826685532855205,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.2,0,0.10505036890802806,0.07615361176510224,0.3129577802359019,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.2,0,0.6825969866626367,0.0,0.629594150387744,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.2,1,0.5512655966274,0.5752651279924079,0.3903320303098019,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.2,1,0.37768842195953983,0.39459188483705276,0.47260771727358747,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.2,1,0.49938055946459936,0.5144284530368582,0.492819770209719,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.2,1,0.4107250723909651,0.42901899851055897,0.6207229003247303,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.2,1,0.5474895339600595,0.0,0.488969321655084,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.2,1,0.5581365273761839,0.5620804208573045,0.6408093747447096,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.2,1,0.45831427053806373,0.5583142705380637,0.5175579768279802,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.2,1,0.45831427053806373,0.444406980956903,0.6699244691539353,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.2,1,0.4146503689080281,0.35029368651268644,0.343185997391052,1.0
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.2,1,0.4849969866626367,0.48268166679086993,0.6500822844643424,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.25,0,0.38958884314928843,0.2727121902045019,0.3363457293881768,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.25,0,0.48548491056902343,0.5854849105690234,0.5443934694062377,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.25,0,0.6746946046056566,0.0,0.5669939922172338,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.25,0,0.3693448886363646,0.2585414220454552,0.5453076703948623,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.25,0,0.4124837112307319,0.0,0.4651964352149647,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.25,0,0.3697888431492884,0.3471767449894351,0.5998549685894903,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.25,0,0.2480152948783707,0.22875968470449623,0.4803961700517934,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.25,0,0.2480152948783707,0.27168713778702563,0.6588564676383512,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.25,0,0.140795300569479,0.1389168543956807,0.3290475242256935,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.25,0,0.6468520550011858,0.632679780431618,0.708181797477525,1.0
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.25,1,0.5895888431492885,0.5728265395635991,0.39573329528376455,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.25,1,0.36030883837830435,0.0,0.41543836930681594,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.25,1,0.4650946046056566,0.5029161400666703,0.6074653111408022,0.25
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.25,1,0.4938867501339326,0.4809298882387868,0.6001419419985735,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.25,1,0.5836837112307319,0.5807277239751317,0.5763902325231125,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.25,1,0.5985888431492884,0.6289245089870762,0.669587241333101,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.25,1,0.5370990178735066,0.6370990178735065,0.5289687962306455,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.25,1,0.5370990178735066,0.5293209712393543,0.6485289435505673,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.25,1,0.450395300569479,0.3152767103986353,0.41270029369682476,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.25,1,0.44925205500118576,0.31447643850083,0.593773442752978,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.3,0,0.35126559662740003,0.45126559662740007,0.3628886742885572,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.3,0,0.4497560455716179,0.549756045571618,0.5074672131191397,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.3,0,0.6478659012451375,0.7243504997565346,0.8224339878541554,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.3,0,0.40553906590703703,0.3879144696365202,0.6242370298654781,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.3,0,0.3720313954576275,0.39995923897646646,0.5402856650314545,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.3,0,0.333594665878616,0.43359466587861606,0.5736916634688869,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.3,0,0.27782226439539504,0.377822264395395,0.5086905070535283,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.3,0,0.27782226439539504,0.1944755850767765,0.575080845479235,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.3,0,0.15818269945440985,0.1463141259805327,0.3980044450068955,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.3,0,0.6188817046891553,0.7188817046891552,0.40616612599133156,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.3,1,0.5512655966274,0.0,0.3743654962502746,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.3,1,0.32457997338089883,0.3271836575198237,0.5170730846273756,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.3,1,0.43826590124513753,0.3897962053207119,0.5449451617784167,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.3,1,0.534339065907037,0.6343390659070369,0.6397082041272448,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.3,1,0.5474895339600595,0.5343017549130185,0.5969391886345874,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.3,1,0.5581365273761839,0.5225023712575282,0.5918806743120454,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.3,1,0.575422264395395,0.6307731474216524,0.5203155848292047,1.0
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.3,1,0.575422264395395,0.5832687134399019,0.6837344092822619,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.3,1,0.46778269945440987,0.0,0.4259377319305039,1.0
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.3,1,0.42128170468915527,0.43678298138936067,0.595749920949414,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.35,0,0.2724808492919572,0.37248084929195724,0.35590635001755117,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.35,0,0.4217982673978125,0.5217982673978125,0.5372103339392218,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.35,0,0.6357883403597252,0.7357883403597252,0.4165837510966537,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.35,0,0.3693448886363646,0.0,0.577388316987447,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.35,0,0.2888697177146601,0.27331889844166585,0.5343132394698934,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.35,0,0.25918684895069777,0.3072815473942873,0.5920797691174658,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.35,0,0.2480152948783707,0.3480152948783707,0.5732210714089009,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.35,0,0.2480152948783707,0.2303991857859146,0.6328148108472698,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.35,0,0.140795300569479,0.0985567103986353,0.4098100554622995,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.35,0,0.6062902050426615,0.6234310221553214,0.6218806179194201,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.35,1,0.4724808492919572,0.456878131077639,0.41331060975212003,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.35,1,0.29662219520709343,0.30726282067427263,0.5205729408586095,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.35,1,0.42618834035972514,0.5261883403597252,0.6224998859232839,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.35,1,0.4938867501339326,0.5088626708808073,0.6409326235561444,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.35,1,0.4730817170321413,0.47635690839673206,0.612776980400617,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.35,1,0.47497484963321646,0.5749748496332164,0.5994101792806044,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.35,1,0.5370990178735066,0.5013698465425066,0.547262708813705,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.35,1,0.5370990178735066,0.5616130836478537,0.6440025769587416,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.35,1,0.450395300569479,0.4667970621763892,0.4391481116251148,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.35,1,0.4086902050426615,0.42767442458614435,0.5700426087891597,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.4,0,0.21083191391033904,0.23055489702848772,0.3205435899033892,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.4,0,0.4092124273899092,0.5092124273899092,0.4139906416883486,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.4,0,0.6323703822788853,0.6239960830042278,0.6179629591581958,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.4,0,0.2949370717084463,0.2004687336221347,0.49485925335896624,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.4,0,0.2237958414785076,0.0,0.5153941290854708,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.4,0,0.20096285442361403,0.1406739980965298,0.4412086966319099,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.4,0,0.18673826917302622,0.0,0.4741676156829832,1.0
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.4,0,0.18673826917302622,0.20848805435167483,0.5527450910839102,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.4,0,0.10505036890802806,0.12555711249311013,0.3376356513771233,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.4,0,0.602726801937105,0.5972053760654484,0.499274088096094,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.4,1,0.4108319139103391,0.43671509983089174,0.40547132526620555,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.4,1,0.2840363551991901,0.0,0.4168200789140166,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.4,1,0.42277038227888525,0.5227703822788853,0.5769723123063747,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.4,1,0.410725072390965,0.40764312020838417,0.581388480161159,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.4,1,0.4148577225050575,0.4532885152189302,0.5408277793963967,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.4,1,0.4099009733970641,0.41601585160476745,0.4757115043465812,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.4,1,0.4583142705380637,0.3208199893766446,0.5263998563451903,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.4,1,0.4583142705380637,0.4510458873828402,0.5891550783271832,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.4,1,0.4146503689080281,0.4255447387647643,0.46459229856251494,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.4,1,0.405126801937105,0.37927341082744936,0.5234984782025548,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.45,0,0.18307922081194447,0.19200590818137325,0.3850496452200954,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.45,0,0.40565062596598683,0.39170932928346863,0.449854301368559,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.45,0,0.6317413482719768,0.0,0.6316841936172901,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.45,0,0.2367130771813626,0.3367130771813626,0.5933115012555356,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.45,0,0.19450133209686882,0.2060377777618482,0.5649653942576104,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.45,0,0.17475197760846356,0.14983249403486085,0.38703212797426045,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.45,0,0.13878909720954546,0.09715236804668181,0.49214825252916244,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.45,0,0.13878909720954546,0.13671209480033084,0.4593154877822683,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.45,0,0.07708001859599763,0.0,0.31438206684141273,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.45,0,0.6020710005256472,0.6528167993154953,0.5719656067143151,0.25
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.45,1,0.3830792208119445,0.37619628990494997,0.4556133788391371,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.45,1,0.28047455377526775,0.19633218764268742,0.4148623666488301,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.45,1,0.4221413482719768,0.3924115413890009,0.6386952944475666,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.45,1,0.3456511961548126,0.44565119615481263,0.596885209777664,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.45,1,0.38864684568990704,0.37610212657034453,0.6063866809090034,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.45,1,0.3806064640154253,0.41752478332976556,0.45098030431447755,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.45,1,0.39666533515644564,0.4125511549958448,0.5140791208887326,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.45,1,0.39666533515644564,0.27766573460951194,0.5570091754090654,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.45,1,0.3866800185959976,0.2706760130171983,0.46686805183224406,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.45,1,0.4044710005256472,0.4208986560228127,0.4625472099662573,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.5,0,0.17522518947724858,0.15037527969343661,0.4015357119033305,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.5,0,0.4049951193247375,0.5049951193247375,0.5065750446210331,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.5,0,0.6316648269393812,0.6424636183185042,0.7073506503755308,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.5,0,0.21050220036621214,0.3105022003662121,0.6198579594632466,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.5,0,0.18621096568802323,0.20485136532264817,0.5727476673541234,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.5,0,0.1673342813479175,0.1634187672174159,0.410812661191097,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.5,0,0.11720366924412746,0.16504079990835344,0.5725259719778828,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.5,0,0.11720366924412746,0.21720366924412748,0.46679681771956416,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.5,0,0.0644885189495038,0.0,0.38702573889266606,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.5,0,0.6019912229661327,0.5451201291298116,0.5850109740739812,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,12,0.5,1,0.37522518947724864,0.3872034615017288,0.43381996214162744,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,12,0.5,1,0.2798190471340184,0.2939958651462,0.5105577818670366,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,12,0.5,1,0.4220648269393812,0.5220648269393812,0.6526887034925867,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,12,0.5,1,0.3163566867731739,0.22144968074122173,0.5902425193737759,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,12,0.5,1,0.3812291494293609,0.39300166331665604,0.6308211156420872,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,12,0.5,1,0.37231609760657974,0.3985843029746089,0.5096429443406947,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,12,0.5,1,0.368912642058051,0.3448100492328795,0.5827776585513489,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,12,0.5,1,0.368912642058051,0.0,0.41952390002848544,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,12,0.5,1,0.3740885189495038,0.3498265881835141,0.43553448176000603,0.25
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,12,0.5,1,0.40439122296613267,0.5043912229661327,0.46617793988955275,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,24,0.05,0,0.22207445099025266,0.21868792942996415,0.3741634633509501,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,40,24,0.05,0,0.4841829814235952,0.4414107315780898,0.5940989799530242,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,40,24,0.05,0,0.7164931411621605,0.0,0.6129475913584381,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,40,24,0.05,0,0.20916298255561144,0.3091629825556115,0.7001182594347718,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,40,24,0.05,0,0.233496562275177,0.314307501670944,0.49952124457682345,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,40,24,0.05,0,0.21374720778677175,0.2475797938420747,0.6727917605955612,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,40,24,0.05,0,0.13023310959971063,0.18880631846266402,0.47277220641367385,1.0
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,40,24,0.05,0,0.13023310959971063,0.1766720000397275,0.5751221494843253,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,40,24,0.05,0,0.06802396820969016,0.04761677774678311,0.3162178659746189,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,40,24,0.05,0,0.6850884746092469,0.6679712336194153,0.780763509135501,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,40,24,0.05,1,0.4220744509902527,0.0,0.4113446484450167,1.0
